SF16h_HGT1_120,SF16h_HGT2_120,SF16h_HGT3_120,SF16h_TWT_120,SF16h_WTP_120,SF16h_WTL_120,SF16h_PAN1_120,SF16h_PAN2_120,SF16h_PAN3_120,2016_07_13-14_Leaf_Necrosis,2016_07_13-14_vegetation_index,2016_08_05-08_vegetation_index,2016_07_13_BAP_Leaf_Area,2016_07_13_laser_plant_height,2016_07_light_interception,2016_08_light_interception,2016_09_light_interception,NEG_OARDC
129.0,150.0,152.0,1.4,-1.0,1.18,-1.0,-1.0,-1.0,0.062679,0.056896,0.070976,0.20227,0.30751,6.2838,-1.0,40.1797,33.37
216.0,230.0,218.0,0.54,0.45,0.42,34.0,38.0,44.0,0.38877,0.059492,0.051332,0.19127,0.60343,19.332,-1.0,32.6033,27.2
272.0,234.0,224.0,1.03,-1.0,0.88,-1.0,-1.0,-1.0,0.98789,0.02372,0.057354,0.20961,0.39432,6.7201,-1.0,38.682,32.32
146.0,139.0,158.0,1.12,-1.0,0.85,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.24224,0.49784,9.6983,-1.0,43.4082,34.02
89.0,104.0,104.0,0.7,-1.0,0.51,-1.0,-1.0,-1.0,0.61768,-1.0,-1.0,0.18,0.2949,11.3735,-1.0,35.686,36.4
144.0,135.0,124.0,0.81,-1.0,0.63,-1.0,-1.0,-1.0,0.019832,-1.0,-1.0,0.31259,0.25917,13.5816,-1.0,61.8888,26.87
131.0,132.0,131.0,1.09,-1.0,0.95,-1.0,-1.0,-1.0,0.28774,-1.0,-1.0,0.11654,0.25527,8.2688,-1.0,16.9836,28.56
154.0,138.0,113.0,0.91,-1.0,0.74,-1.0,-1.0,-1.0,0.26102,-1.0,0.10309,0.23672,0.35446,10.2859,-1.0,51.522,34.04
135.0,127.0,140.0,1.52,-1.0,1.2,-1.0,-1.0,-1.0,0.28725,-1.0,0.076892,0.30653,0.42037,24.0967,-1.0,63.0269,32.64
230.0,199.0,231.0,1.99,-1.0,1.74,-1.0,-1.0,-1.0,0.12469,-1.0,0.055838,0.30652,0.22304,8.8839,-1.0,28.3249,27.04
183.0,181.0,181.0,1.11,-1.0,0.91,-1.0,-1.0,-1.0,0.99554,-1.0,0.054858,0.27124,0.25897,13.6025,-1.0,53.9544,30.18
200.0,194.0,196.0,1.65,-1.0,1.42,-1.0,-1.0,-1.0,0.33928,-1.0,0.063423,0.36352,0.42128,13.6024,-1.0,50.6223,30.6
235.0,213.0,231.0,1.62,-1.0,1.4,-1.0,-1.0,-1.0,0.50165,-1.0,0.069261,0.37543,0.5392,19.1007,-1.0,58.8247,27.33
215.0,182.0,213.0,1.72,-1.0,1.46,-1.0,-1.0,-1.0,0.019119,-1.0,0.078474,0.44217,0.49036,20.4424,-1.0,64.3961,31.69
299.0,305.0,255.0,2.02,-1.0,1.74,-1.0,-1.0,-1.0,0.13225,-1.0,0.075818,0.27968,0.45138,20.1661,-1.0,58.0017,29.26
