Sample ID,ADF,AD-ICP,Adj_CP,aNDFom,Ash,Crude protein,DCAD,Dry Matter,EE Fat,Lignin,NEG OARDC,NEL3x ADF,NEL3x OARDC,NEM OARDC,NFC,SPCP,Starch,TDN OARDC,WSC Sugar,Cellulose,Hemicellulose
SF16-BE-r1-p0419,36.54,0.58,10.85,64.67,2.59,9.31,29.62,90.79,1.04,3.81,35.08,84.35,62.12,58.31,21.46,68.46,-0.12,73.15,9.8,32.73,30.81
SF16-BE-r1-p0423,40.93,0.69,12.6,67.54,2.74,8.43,7.78,91.18,1.08,4.54,31.94,84.05,60.01,55.96,17.47,39.7,0.53,72.58,12.45,36.39,29.49
SF16-BE-r1-p0427,37.45,0.63,13.86,64.49,2.4,11.57,17.94,91.31,1.06,3.06,36.29,77.49,62.59,60.72,18.99,91.62,0.7,70.34,11.24,34.39,29.47
SF16-BE-r1-p0431,39.35,0.65,11.54,67.06,3.2,9.3,18.92,91.82,1.01,4.85,31.54,74.56,59.46,55.4,18.01,62.58,0.65,66.3,11.52,34.5,30.24
SF16-BE-r1-p0439,29.89,0.56,5.84,52.57,2.45,5.1,13.17,93.05,0.94,4.53,37.7,68.49,66.37,63.96,38.83,38.41,1.26,65.16,34.69,25.36,23.9
SF16-BE-r1-p0443,40.55,0.57,7.44,67.8,3.09,6.26,22.63,92.88,0.89,6.89,26.87,61.18,56.47,51.37,23.81,58.74,0.43,57.47,12.63,33.66,28.89
SF16-BE-r1-p0447,34.97,0.64,5.61,58.25,2.56,5.94,9.73,92.89,0.86,5.58,33.26,67.96,62.28,59.2,35.82,32.6,0.99,61.72,26.76,29.39,25.19
SF16-BE-r1-p0451,37.46,0.53,7.16,63.28,2.9,5.89,24.25,92.37,0.84,6.53,29.05,64.35,58.73,53.2,26.64,45.43,0.51,60.9,17.73,30.93,26.99
SF16-BE-r1-p0455,39.16,0.59,7.55,64.47,3.53,5.28,18.27,92.21,0.9,6.5,27.33,62.31,57.44,52,25.85,28.19,0.46,59.69,18.42,32.66,27.02
SF16-BE-r1-p0459,38.61,0.6,10.21,64.44,2.62,8.46,14.1,91.98,0.97,5.59,32.47,77.71,59.85,54.97,19.85,71.43,0.9,69.4,13.69,33.02,28.63
