PlotID,PI,Ra,Rw,XofY,TAG,Con,Barcode,End
SF-BE-r1-p0123,PI_514456,3,27,3 of 4,PANICLE,PAN.,PAN.SF-BE-r1-p0123,MATURITY
SF-BE-r1-p0123,PI_514456,3,27,3 of 4,LEAF,LEF.,LEF.SF-BE-r1-p0123,
SF-BE-r1-p0125,PI_330184,3,29,1 of 4,,,SF-BE-r1-p0125,
SF-BE-r1-p0127,PI_330184,3,31,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r1-p0127,ANTHESIS
SF-BE-r1-p0127,PI_330184,3,31,3 of 4,PANICLE,PAN.,PAN.SF-BE-r1-p0127,MATURITY
SF-BE-r1-p0127,PI_330184,3,31,3 of 4,LEAF,LEF.,LEF.SF-BE-r1-p0127,
SF-BE-r1-p0129,PI_156326,3,33,1 of 4,,,SF-BE-r1-p0129,
SF-BE-r1-p0131,PI_156326,3,35,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r1-p0131,ANTHESIS
SF-BE-r1-p0131,PI_156326,3,35,3 of 4,PANICLE,PAN.,PAN.SF-BE-r1-p0131,MATURITY
SF-BE-r1-p0131,PI_156326,3,35,3 of 4,LEAF,LEF.,LEF.SF-BE-r1-p0131,
SF-BE-r1-p0133,PI_329518,3,37,1 of 4,,,SF-BE-r1-p0133,
SF-BE-r1-p0135,PI_329518,3,39,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r1-p0135,ANTHESIS
SF-BE-r1-p0135,PI_329518,3,39,3 of 4,PANICLE,PAN.,PAN.SF-BE-r1-p0135,MATURITY
SF-BE-r1-p0135,PI_329518,3,39,3 of 4,LEAF,LEF.,LEF.SF-BE-r1-p0135,
SF-BE-r1-p0137,PI_570400,3,41,1 of 4,,,SF-BE-r1-p0137,
SF-BE-r1-p0139,PI_570400,3,43,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r1-p0139,ANTHESIS
SF-BE-r1-p0139,PI_570400,3,43,3 of 4,PANICLE,PAN.,PAN.SF-BE-r1-p0139,MATURITY
SF-BE-r1-p0139,PI_570400,3,43,3 of 4,LEAF,LEF.,LEF.SF-BE-r1-p0139,
SF-BE-r1-p0141,PI_570076,3,45,1 of 4,,,SF-BE-r1-p0141,
SF-BE-r1-p0143,PI_570076,3,47,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r1-p0143,ANTHESIS
SF-BE-r1-p0143,PI_570076,3,47,3 of 4,PANICLE,PAN.,PAN.SF-BE-r1-p0143,MATURITY
SF-BE-r1-p0143,PI_570076,3,47,3 of 4,LEAF,LEF.,LEF.SF-BE-r1-p0143,
SF-BE-r2-p1601,PI_303658,3,49,1 of 4,,,SF-BE-r2-p1601,
SF-BE-r2-p1603,PI_303658,3,51,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p1603,ANTHESIS
SF-BE-r2-p1603,PI_303658,3,51,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p1603,MATURITY
SF-BE-r2-p1603,PI_303658,3,51,3 of 4,LEAF,LEF.,LEF.SF-BE-r2-p1603,
SF-BE-r2-p1605,PI_455221,3,53,1 of 4,,,SF-BE-r2-p1605,
SF-BE-r2-p1607,PI_455221,3,55,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p1607,ANTHESIS
SF-BE-r2-p1607,PI_455221,3,55,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p1607,MATURITY
SF-BE-r2-p1607,PI_455221,3,55,3 of 4,LEAF,LEF.,LEF.SF-BE-r2-p1607,
SF-BE-r2-p1609,PI_329310,3,57,1 of 4,,,SF-BE-r2-p1609,
SF-BE-r2-p1611,PI_329310,3,59,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p1611,ANTHESIS
SF-BE-r2-p1611,PI_329310,3,59,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p1611,MATURITY
SF-BE-r2-p1611,PI_329310,3,59,3 of 4,LEAF,LEF.,LEF.SF-BE-r2-p1611,
SF-BE-r2-p1613,PI_297130,3,61,1 of 4,,,SF-BE-r2-p1613,
SF-BE-r2-p1615,PI_297130,3,63,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p1615,ANTHESIS
SF-BE-r2-p1615,PI_297130,3,63,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p1615,MATURITY
SF-BE-r2-p1615,PI_297130,3,63,3 of 4,LEAF,LEF.,LEF.SF-BE-r2-p1615,
SF-BE-r2-p1617,PI_329338,3,65,1 of 4,,,SF-BE-r2-p1617,
SF-BE-r2-p1619,PI_329338,3,67,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p1619,ANTHESIS
SF-BE-r2-p1619,PI_329338,3,67,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p1619,MATURITY
SF-BE-r2-p1619,PI_329338,3,67,3 of 4,LEAF,LEF.,LEF.SF-BE-r2-p1619,
SF-BE-r2-p1621,PI_562990,3,69,1 of 4,,,SF-BE-r2-p1621,
SF-BE-r2-p1623,PI_562990,3,71,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p1623,ANTHESIS
SF-BE-r2-p1623,PI_562990,3,71,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p1623,MATURITY
SF-BE-r2-p1623,PI_562990,3,71,3 of 4,LEAF,LEF.,LEF.SF-BE-r2-p1623,
SF-BE-r2-p1625,PI_329501,3,73,1 of 4,,,SF-BE-r2-p1625,
SF-BE-r2-p1627,PI_329501,3,75,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p1627,ANTHESIS
SF-BE-r2-p1627,PI_329501,3,75,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p1627,MATURITY
SF-BE-r2-p1627,PI_329501,3,75,3 of 4,LEAF,LEF.,LEF.SF-BE-r2-p1627,
SF-BE-r2-p1629,PI_569445,3,77,1 of 4,,,SF-BE-r2-p1629,
SF-BE-r2-p1631,PI_569445,3,79,3 of 4,BIOMASS,BMS.,BMS.SF-BE-r2-p1631,ANTHESIS
SF-BE-r2-p1631,PI_569445,3,79,3 of 4,PANICLE,PAN.,PAN.SF-BE-r2-p1631,MATURITY
